key,context,english,arabic,french
dashboard_no_transactions_yet,Empty state,No transactions yet,لا توجد معاملات بعد,Aucune transaction pour le moment
dashboard_no_transactions_today,Nudge banner,No transactions today — tap + to add one,لا معاملات اليوم — اضغط + لإضافة واحدة,Aucune transaction aujourd'hui — appuyez sur + pour en ajouter
dashboard_total_across_accounts,Net worth subtitle,Total across all accounts,الإجمالي عبر جميع الحسابات,Total de tous les comptes
dashboard_label_income,Mini stat label,Income,دخل,Revenu
dashboard_label_expenses,Mini stat label,Expenses,مصاريف,Dépenses
dashboard_label_net,Mini stat label,Net,صافي,Net
dashboard_spent,Donut chart center,spent,مُنفَق,dépensé
dashboard_no_spending,Empty donut placeholder,No spending,لا إنفاق,Aucune dépense
dashboard_last_7_days,Toggle label,Last 7 Days,آخر 7 أيام,7 derniers jours
dashboard_this_month,Toggle label,This Month,هذا الشهر,Ce mois-ci
dashboard_envelopes,Card title,Envelopes,الأظرف,Enveloppes
dashboard_on_track,Envelope health status,On track,على المسار,En bonne voie
dashboard_running_low,Envelope health status,Running low,ينفد,Presque épuisé
dashboard_overspent,Envelope health status,Overspent,تجاوز الحد,Dépassé
dashboard_heads_up,Budget insights header,Heads up,تنبيه,Attention
dashboard_is_over_limit,Budget insight "{name} is {amount} over its limit",is {amount} over its limit,تجاوز حده بمقدار {amount},dépasse sa limite de {amount}
dashboard_has_percent_left,Budget insight "{name} has only {percent}% left",has only {percent}% left,لم يتبقَّ منه سوى {percent}%,n'a plus que {percent}% restant
dashboard_budget_left_of,Status card (under budget),{amount} left of {total} budget,{amount} متبقٍّ من ميزانية {total},{amount} restant sur un budget de {total}
dashboard_budget_over,Status card (over budget),{amount} over {total} budget,{amount} فوق ميزانية {total},{amount} au-dessus du budget de {total}
dashboard_spending_per_day,Velocity line,"Spending {amount}/day · ~{projected} by month end",إنفاق {amount}/يوم · ~{projected} نهاية الشهر,"Dépenses {amount}/jour · ~{projected} en fin de mois"
dashboard_money_sits_1_day,Age of money (singular),Money sits 1 day before being spent,المال يبقى يوماً واحداً قبل إنفاقه,L'argent reste 1 jour avant d'être dépensé
dashboard_money_sits_n_days,Age of money (plural),Money sits {n} days before being spent,المال يبقى {n} أيام قبل إنفاقه,L'argent reste {n} jours avant d'être dépensé
dashboard_age_of_money_title,Info dialog title,Age of Money,عمر المال,Âge de l'argent
dashboard_age_of_money_explanation,Info dialog content,"This shows how long money sits in your accounts before you spend it.\n\nThink of it as a buffer:\n\n• Under 14 days — you're spending money almost as fast as it comes in\n• 14–30 days — you have a small cushion, getting ahead\n• 30–60 days — you're spending last month's income. Great!\n• 60+ days — strong financial health, big safety net\n\nThe goal is to increase this number over time. The higher it is, the more financially secure you are.","يُظهر مدة بقاء المال في حساباتك قبل إنفاقه.\n\nاعتبره احتياطياً:\n\n• أقل من 14 يوماً — تنفق المال بنفس سرعة وروده\n• 14–30 يوماً — لديك هامش بسيط\n• 30–60 يوماً — تنفق دخل الشهر الماضي. ممتاز!\n• 60+ يوماً — صحة مالية قوية\n\nالهدف زيادة هذا الرقم بمرور الوقت.","Cela montre combien de temps l'argent reste dans vos comptes avant d'être dépensé.\n\nConsidérez-le comme un tampon :\n\n• Moins de 14 jours — vous dépensez aussi vite que l'argent arrive\n• 14–30 jours — vous avez un petit coussin\n• 30–60 jours — vous dépensez le revenu du mois dernier. Excellent !\n• 60+ jours — excellente santé financière\n\nL'objectif est d'augmenter ce nombre avec le temps."
dashboard_search_placeholder,Global search hint,"Search transactions, accounts...",البحث في المعاملات والحسابات...,"Rechercher transactions, comptes..."
dashboard_type_at_least_2,Search hint,Type at least 2 characters,اكتب حرفين على الأقل,Tapez au moins 2 caractères
dashboard_no_results_for,Search empty state,"No results for ""{query}""",لا نتائج لـ ""{query}"",Aucun résultat pour « {query} »
dashboard_search_accounts,Search section header,Accounts,الحسابات,Comptes
dashboard_search_categories,Search section header,Categories,الفئات,Catégories
dashboard_search_transactions,Search section header,Transactions,المعاملات,Transactions
dashboard_other_category,Fallback category name,Other,أخرى,Autre
# ──────────────────────────────────────────────
# DASHBOARD CUSTOMIZE
# ──────────────────────────────────────────────
customize_title,Bottom sheet title,Customize Dashboard,تخصيص لوحة التحكم,Personnaliser le tableau de bord
customize_instructions,Instructions text,Drag to reorder. Toggle to show/hide sections.,اسحب لإعادة الترتيب. بدّل لإظهار/إخفاء الأقسام.,Glissez pour réorganiser. Basculez pour afficher/masquer.
dashboard_section_spending_label,Section label,Spending Overview,نظرة عامة على الإنفاق,Aperçu des dépenses
dashboard_section_spending_desc,Section description,Donut chart with category breakdown,رسم بياني دائري مع تفصيل الفئات,Graphique en anneau avec répartition par catégorie
dashboard_section_quick_label,Section label,Quick Actions,إجراءات سريعة,Actions rapides
dashboard_section_quick_desc,Section description,"Expense, income, transfer, fund","مصروف، دخل، تحويل، تمويل","Dépense, revenu, virement, financement"
dashboard_section_money_label,Section label,Your Money,أموالك,Votre argent
dashboard_section_money_desc,Section description,Net worth and unallocated,صافي الثروة والمتبقي,Patrimoine net et non affecté
dashboard_net_worth,Compact card label,Net Worth,صافي الثروة,Patrimoine net
dashboard_unallocated_compact,Compact card label,Unallocated,غير موزع,Non affecté
dashboard_section_activity_label,Section label,Recent Activity,النشاط الأخير,Activité récente
dashboard_section_activity_desc,Section description,Templates and recent transactions,القوالب والمعاملات الأخيرة,Modèles et transactions récentes
# ──────────────────────────────────────────────
# TRANSACTIONS — List screen
# ──────────────────────────────────────────────
tx_title,Screen title,Transactions,المعاملات,Transactions
tx_intro_title,Hint banner title,Your transactions,معاملاتك,Vos transactions
tx_intro_body,Hint banner body,"Your transactions appear here grouped by date. Swipe left to delete, right to edit. Long-press for more options.","تظهر معاملاتك هنا مجمّعة حسب التاريخ. مرر لليسار للحذف، لليمين للتعديل. اضغط مطوّلاً لمزيد من الخيارات.","Vos transactions apparaissent ici groupées par date. Glissez à gauche pour supprimer, à droite pour modifier. Appui long pour plus d'options."
tx_delete_selected_title,Bulk delete dialog title,Delete selected?,حذف المحددة؟,Supprimer la sélection ?
tx_delete_selected_content,Bulk delete dialog,"Delete {count} transaction(s)? This will reverse any envelope deductions.",حذف {count} معاملة(ات)؟ سيتم التراجع عن أي خصومات من الأظرف.,Supprimer {count} transaction(s) ? Cela annulera les déductions des enveloppes.
tx_n_deleted,Snackbar after bulk delete,{count} transaction(s) deleted,تم حذف {count} معاملة(ات),{count} transaction(s) supprimée(s)
tx_n_selected,Selection mode bar,{count} selected,{count} محددة,{count} sélectionnée(s)
tx_delete_selected_tooltip,Selection delete tooltip,Delete selected,حذف المحدد,Supprimer la sélection
tx_search_hint,Search field hint,Search transactions...,البحث في المعاملات...,Rechercher des transactions...
tx_close_search,Close search tooltip,Close search,إغلاق البحث,Fermer la recherche
tx_filter_tooltip,Filter button tooltip,Filter transactions,تصفية المعاملات,Filtrer les transactions
tx_search_tooltip,Search button tooltip,Search transactions,البحث في المعاملات,Rechercher les transactions
tx_list_settings_tooltip,Settings button tooltip,List settings,إعدادات القائمة,Paramètres de la liste
tx_quick_add_hint,Quick-add bar placeholder,"Type name and amount, e.g. Coffee 4.50","اكتب الاسم والمبلغ، مثال: قهوة 4.50","Tapez le nom et le montant, ex. Café 4.50"
tx_send_tooltip,Quick-add send tooltip,Send,إرسال,Envoyer
tx_scroll_top_tooltip,FAB tooltip,Scroll to top,التمرير للأعلى,Retour en haut
tx_split_bill_tooltip,FAB tooltip,Split Bill,تقسيم الفاتورة,Partager l'addition
tx_add_tooltip,FAB tooltip,Add expense (hold for more),إضافة مصروف (اضغط مطولاً للمزيد),Ajouter une dépense (maintenir pour plus)
tx_type_picker_title,Sheet title,New Transaction,معاملة جديدة,Nouvelle transaction
tx_deleted_snackbar,Snackbar,Transaction deleted,تم حذف المعاملة,Transaction supprimée
settings_recurring_bills,Tile title,Recurring & Bills,المتكررة والفواتير,Récurrents et factures
settings_recurring_bills_sub,Tile subtitle,Manage recurring transactions and bills,إدارة المعاملات المتكررة والفواتير,Gérer les transactions récurrentes et factures
alloc_how_budgeting_works,Dialog title,How Budgeting Works,كيف تعمل الميزانية,Comment fonctionne le budget
tx_from_date,Date range filter,From date,من تاريخ,Du
tx_to_date,Date range filter,To date,إلى تاريخ,Au
tx_min_amount,Amount range hint,Min,الحد الأدنى,Min
tx_max_amount,Amount range hint,Max,الحد الأقصى,Max
tx_clear_filters,Filter clear link,Clear advanced filters,مسح الفلاتر المتقدمة,Effacer les filtres avancés
tx_select_year,Year picker dialog title,Select Year,اختر السنة,Choisir l'année
tx_filtered_category,Category filter chip,Filtered: {categoryName},مصفّى: {categoryName},Filtré : {categoryName}
tx_no_category_in_month,Empty state with category filter,No {categoryName} transactions in {monthLabel},لا معاملات {categoryName} في {monthLabel},Aucune transaction {categoryName} en {monthLabel}
tx_no_matching,Empty state with filters,No matching transactions,لا معاملات مطابقة,Aucune transaction correspondante
tx_no_yet,Empty state,No transactions yet,لا معاملات بعد,Aucune transaction pour le moment
tx_tap_plus,Empty state subtitle,Tap + to record one,اضغط + لتسجيل واحدة,Appuyez sur + pour en ajouter
tx_add_first,Empty state button,Add your first transaction,أضف أول معاملة,Ajoutez votre première transaction
tx_spent_of_budget,Budget progress bar,"Spent {spent} of {budget} budget",أُنفق {spent} من ميزانية {budget},{spent} dépensé sur un budget de {budget}
tx_total_cash_flow,Footer summary,"Total cash flow: {amount} · {count} transaction(s)","إجمالي التدفق النقدي: {amount} · {count} معاملة(ات)","Flux total : {amount} · {count} transaction(s)"
tx_today_prefix,Date header,Today,اليوم,Aujourd'hui
tx_yesterday_prefix,Date header,Yesterday,أمس,Hier
tx_n_items,Multi-line display,{count} items,{count} عناصر,{count} éléments
tx_n_more,Multi-line suffix,+{count} more,+{count} أخرى,+{count} de plus
tx_context_edit,Context menu,Edit,تعديل,Modifier
tx_context_duplicate,Context menu,Duplicate,تكرار,Dupliquer
tx_context_delete,Context menu,Delete,حذف,Supprimer
tx_delete_title,Delete dialog title,Delete transaction?,حذف المعاملة؟,Supprimer la transaction ?
tx_delete_cannot_undo,Delete dialog content,This action cannot be undone.,لا يمكن التراجع عن هذا الإجراء.,Cette action est irréversible.
tx_delete_short,Swipe-to-delete title,Delete?,حذف؟,Supprimer ?
tx_delete_with_reversal,Swipe-to-delete content,"Delete {label}? This will reverse any envelope deductions.",حذف {label}؟ سيتم التراجع عن خصومات الأظرف.,Supprimer {label} ? Cela annulera les déductions des enveloppes.
tx_n_accounts,Multi-account label,{count} accounts,{count} حسابات,{count} comptes
# ──────────────────────────────────────────────
# TRANSACTIONS — Add/Edit form
# ──────────────────────────────────────────────
tx_form_edit_title,AppBar title editing,Edit,تعديل,Modifier
tx_form_new_title,AppBar title creating,New Transaction,معاملة جديدة,Nouvelle transaction
tx_form_save,Save button,Save,حفظ,Enregistrer
tx_form_note_hint,Note field hint,Add a note…,أضف ملاحظة…,Ajouter une note…
tx_form_title_hint,Title field hint,"Title (e.g. Coffee, Groceries)","العنوان (مثل: قهوة، بقالة)","Titre (ex. Café, Courses)"
tx_form_use_template,Template button tooltip,Use Template,استخدام قالب,Utiliser un modèle
tx_form_auto_detected,Auto-fill label,Auto-detected,تم الكشف تلقائياً,Détecté automatiquement
tx_form_no_category,No category label,No category,بدون فئة,Aucune catégorie
tx_form_from_account,Transfer source hint,From account,من حساب,Depuis le compte
tx_form_to_account,Transfer dest hint,To account,إلى حساب,Vers le compte
tx_form_dest_receives,Transfer exchange label,Destination receives:,المستلم يتلقى:,Le destinataire reçoit :
tx_form_add_item,Add line item button,Add item,إضافة عنصر,Ajouter un élément
tx_form_total,Total label for multi-line,Total,الإجمالي,Total
tx_form_select_source,Validation error,Select a source account,اختر حساب المصدر,Sélectionnez un compte source
tx_form_select_dest,Validation error,Select a destination account,اختر حساب الوجهة,Sélectionnez un compte de destination
tx_form_source_dest_differ,Validation error,Source and destination must differ,يجب أن يختلف المصدر عن الوجهة,La source et la destination doivent être différents
tx_form_enter_amount,Validation error,Enter an amount,أدخل مبلغاً,Saisissez un montant
tx_form_select_account_item,Validation error,Select an account for item {n},اختر حساباً للعنصر {n},Sélectionnez un compte pour l'élément {n}
tx_form_select_account,Validation error,Select an account for the transaction,اختر حساباً للمعاملة,Sélectionnez un compte pour la transaction
tx_form_enter_amount_item,Validation error,Enter an amount for item {n},أدخل مبلغاً للعنصر {n},Saisissez un montant pour l'élément {n}
tx_form_enter_amount_tx,Validation error,Enter an amount for the transaction,أدخل مبلغاً للمعاملة,Saisissez un montant pour la transaction
tx_form_rate_not_set_title,Dialog title,Exchange rate not set,لم يتم تعيين سعر الصرف,Taux de change non défini
tx_form_rate_not_set_content,Dialog content,"Save anyway, or go back to set the rate?","الحفظ على أي حال، أم العودة لتعيين السعر؟","Enregistrer quand même, ou revenir définir le taux ?"
tx_form_duplicate_title,Dialog title,Possible Duplicate,معاملة مكررة محتملة,Doublon possible
tx_form_duplicate_content,Dialog content,"A similar transaction with the same amount, category, and date already exists. Save anyway?","توجد معاملة مشابهة بنفس المبلغ والفئة والتاريخ. حفظ على أي حال؟","Une transaction similaire avec le même montant, catégorie et date existe déjà. Enregistrer quand même ?"
tx_form_saved,Success snackbar,Transaction saved,تم حفظ المعاملة,Transaction enregistrée
tx_form_saved_envelope,Success with envelope,"Transaction saved · {envelopeName} envelope updated",تم حفظ المعاملة · تم تحديث ظرف {envelopeName},Transaction enregistrée · Enveloppe {envelopeName} mise à jour
tx_form_error_saving,Error snackbar,Error saving: {error},خطأ في الحفظ: {error},Erreur lors de l'enregistrement : {error}
tx_form_receipt_attached,Receipt indicator,Receipt attached,إيصال مرفق,Reçu joint
tx_form_n_receipts,Multiple receipts,{count} receipts attached,{count} إيصالات مرفقة,{count} reçus joints
tx_form_add_more,Add receipts tooltip,Add more,إضافة المزيد,Ajouter plus
tx_form_scan_receipt,Receipt button,Scan Receipt,مسح الإيصال,Scanner le reçu
tx_form_gallery,Gallery button,Gallery,المعرض,Galerie
# ──────────────────────────────────────────────
# TRANSACTIONS — Detail screen
# ──────────────────────────────────────────────
tx_detail_title,AppBar title,Transaction Details,تفاصيل المعاملة,Détails de la transaction
tx_detail_not_found,Error state,Transaction not found,المعاملة غير موجودة,Transaction introuvable
tx_detail_copied,Snackbar,Copied {amount},تم نسخ {amount},{amount} copié
tx_detail_date,Detail label,Date,التاريخ,Date
tx_detail_time,Detail label,Time,الوقت,Heure
tx_detail_accounts,Detail label (multi),Accounts,الحسابات,Comptes
tx_detail_account,Detail label (single),Account,الحساب,Compte
tx_detail_note,Detail label,Note,ملاحظة,Note
tx_detail_category,Detail label,Category,الفئة,Catégorie
tx_detail_unknown_account,Fallback,Unknown,غير معروف,Inconnu
tx_detail_split_items,Section header,SPLIT ITEMS ({count}),عناصر مقسمة ({count}),ÉLÉMENTS RÉPARTIS ({count})
tx_detail_line_detail,Section header,LINE DETAIL,تفاصيل السطر,DÉTAIL DE LA LIGNE
tx_detail_uncategorized,Fallback,Uncategorized,بدون فئة,Non catégorisé
tx_detail_related_single,Section header,RELATED TRANSACTION,معاملة مرتبطة,TRANSACTION LIÉE
tx_detail_related_plural,Section header,RELATED TRANSACTIONS,معاملات مرتبطة,TRANSACTIONS LIÉES
tx_detail_receipts,Section header,Receipts ({count}),الإيصالات ({count}),Reçus ({count})
tx_detail_receipt,Section header no items,Receipt,الإيصال,Reçu
tx_detail_attach,Attach link,Attach,إرفاق,Joindre
tx_detail_no_receipt,Empty state,No receipt attached,لا يوجد إيصال مرفق,Aucun reçu joint
tx_detail_delete_title,Delete dialog title,Delete Transaction,حذف المعاملة,Supprimer la transaction
tx_detail_delete_content,Delete dialog content,"Are you sure you want to delete this transaction?\n\nThis will reverse any envelope deductions and restore the balance. Ledger entries will be removed.\n\nThis cannot be undone.","هل أنت متأكد من حذف هذه المعاملة؟\n\nسيتم التراجع عن خصومات الأظرف واستعادة الرصيد. ستُزال إدخالات السجل.\n\nلا يمكن التراجع عن هذا.","Voulez-vous vraiment supprimer cette transaction ?\n\nCela annulera les déductions des enveloppes et restaurera le solde. Les écritures seront supprimées.\n\nCette action est irréversible."
# ──────────────────────────────────────────────
# TRANSACTIONS — Assisted flow
# ──────────────────────────────────────────────
tx_af_discard_title,Back confirmation title,Discard transaction?,Abandonner المعاملة؟,Abandonner la transaction ?
tx_af_discard_content,Back confirmation content,You have an unsaved transaction. Are you sure you want to go back?,لديك معاملة غير محفوظة. هل تريد العودة؟,Vous avez une transaction non enregistrée. Voulez-vous revenir en arrière ?
tx_af_keep_editing,Dialog button,Keep editing,متابعة التعديل,Continuer l'édition
tx_af_discard,Dialog button,Discard,تجاهل,Abandonner
tx_af_enter_title,Step 1 title,Enter Title,أدخل العنوان,Saisir le titre
tx_af_transfer_note_hint,Transfer note hint,"Note (e.g. rent, savings)","ملاحظة (مثل: إيجار، ادخار)","Note (ex. loyer, épargne)"
tx_af_title_hint,Title hint,Title,العنوان,Titre
tx_af_enter_amount_button,Button,Enter Amount,إدخال المبلغ,Saisir le montant
tx_af_select_category_button,Button,Select Category,اختيار الفئة,Choisir la catégorie
tx_af_select_category_title,Popup title,Select Category,اختيار الفئة,Choisir la catégorie
tx_af_search_categories,Search hint,Search categories...,البحث في الفئات...,Rechercher des catégories...
tx_af_new_category,Button,New Category,فئة جديدة,Nouvelle catégorie
tx_af_enter_amount_title,AppBar title,Enter Amount,إدخال المبلغ,Saisir le montant
tx_af_from_account,Account label (transfer),From Account,من حساب,Compte source
tx_af_to_account,Account label (transfer),To Account,إلى حساب,Compte destination
tx_af_account,Account label,Account,الحساب,Compte
tx_af_tap_to_select,Placeholder,Tap to select,اضغط للاختيار,Appuyez pour sélectionner
tx_af_add_account,Button,Add Account,إضافة حساب,Ajouter un compte
tx_af_exchange_rate_required,Section title,Exchange Rate Required,سعر الصرف مطلوب,Taux de change requis
tx_af_how_many_per,Exchange rate prompt,How many {sourceCurrency} per 1 {destCurrency}?,كم {sourceCurrency} مقابل 1 {destCurrency}؟,Combien de {sourceCurrency} pour 1 {destCurrency} ?
tx_af_tap_to_enter_rate,Rate hint,Tap to enter rate,اضغط لإدخال السعر,Appuyez pour saisir le taux
tx_af_recipient_gets,Conversion preview,Recipient gets = {amount},المستلم يحصل على = {amount},Le destinataire reçoit = {amount}
tx_af_fetching_rate,Loading text,Fetching rate for {currency}...,جارٍ جلب سعر {currency}...,Récupération du taux pour {currency}...
tx_af_enter_amount_first,Snackbar,Enter an amount for this item first,أدخل مبلغاً لهذا العنصر أولاً,Saisissez d'abord un montant pour cet élément
tx_af_please_select_account,Snackbar,Please select an account,الرجاء اختيار حساب,Veuillez sélectionner un compte
tx_af_please_select_dest,Snackbar,Please select a destination account,الرجاء اختيار حساب الوجهة,Veuillez sélectionner un compte de destination
tx_af_mixed_title,Dialog title,Mixed transaction,معاملة مختلطة,Transaction mixte
tx_af_add_another,Button,Add another item,إضافة عنصر آخر,Ajouter un autre élément
tx_af_save_transfer,Save button,Save Transfer,حفظ التحويل,Enregistrer le virement
tx_af_save_n_items,Save button,Save {count} Items,حفظ {count} عناصر,Enregistrer {count} éléments
tx_af_add_transaction,Save button,Add Transaction,إضافة معاملة,Ajouter la transaction
# ──────────────────────────────────────────────
# TRANSACTIONS — Category sheet
# ──────────────────────────────────────────────
cat_sheet_title,Sheet title,Category,الفئة,Catégorie
cat_sheet_new,New button,New,جديد,Nouveau
cat_sheet_name_hint,Text field hint,Category name,اسم الفئة,Nom de la catégorie
cat_sheet_add,Add button,Add,إضافة,Ajouter
cat_sheet_no_matching,Empty search,No matching categories,لا فئات مطابقة,Aucune catégorie correspondante
cat_sheet_no_yet,Empty state,"No categories yet.\nTap ""New"" above to create one.","لا فئات بعد.\nاضغط ""جديد"" أعلاه لإنشاء واحدة.","Aucune catégorie.\nAppuyez sur « Nouveau » ci-dessus pour en créer une."
cat_sheet_n_subcategories,Parent subtitle,{count} subcategories,{count} فئات فرعية,{count} sous-catégories
# ──────────────────────────────────────────────
# TRANSACTIONS — Currency sheet
# ──────────────────────────────────────────────
currency_sheet_title,Sheet title,Currency,العملة,Devise
currency_your_accounts,Section header,YOUR ACCOUNTS,حساباتك,VOS COMPTES
currency_recently_used,Section header,RECENTLY USED,المستخدمة مؤخراً,RÉCEMMENT UTILISÉES
currency_all,Section header,ALL CURRENCIES,جميع العملات,TOUTES LES DEVISES
# ──────────────────────────────────────────────
# TRANSACTIONS — Form widgets
# ──────────────────────────────────────────────
tx_widget_select_account,Dropdown hint,Select account,اختر حساباً,Sélectionner un compte
tx_widget_category,Category pill label,Category,الفئة,Catégorie
tx_widget_item_note,Per-item note hint,Item note…,ملاحظة العنصر…,Note de l'élément…
# ──────────────────────────────────────────────
# TRANSACTIONS — List settings
# ──────────────────────────────────────────────
tx_list_title,AppBar title,Transaction List,قائمة المعاملات,Liste des transactions
tx_list_select_layout,Section title,Select Layout,اختر التنسيق,Choisir la disposition
tx_list_date_banner,Setting label,Date Banner Total,إجمالي شريط التاريخ,Total de la bannière de date
tx_list_day_total,Dropdown option,Day Total,إجمالي اليوم,Total du jour
tx_list_account_label,Setting title,Account Label,تسمية الحساب,Libellé du compte
tx_list_account_subtitle,Setting subtitle,Show account name on each transaction,إظهار اسم الحساب على كل معاملة,Afficher le nom du compte sur chaque transaction
tx_list_category_icon,Setting title,Category Icon,أيقونة الفئة,Icône de catégorie
tx_list_category_subtitle,Setting subtitle,Show category icon circle,إظهار دائرة أيقونة الفئة,Afficher le cercle d'icône de catégorie
tx_list_time,Setting title,Time,الوقت,Heure
tx_list_time_subtitle,Setting subtitle,Show time of the transaction,إظهار وقت المعاملة,Afficher l'heure de la transaction
tx_list_preview_name,Preview placeholder,Transaction Name,اسم المعاملة,Nom de la transaction
tx_list_preview_note,Preview note,This is a note that is part of the transaction.,هذه ملاحظة مرتبطة بالمعاملة.,Ceci est une note associée à la transaction.
# ──────────────────────────────────────────────
# BILL SPLITTER
# ──────────────────────────────────────────────
bill_title,Screen title,Bill Splitter,تقسيم الفاتورة,Partage d'addition
bill_scanning,Loading text,Scanning receipt...,جارٍ مسح الإيصال...,Numérisation du reçu...
bill_scan_tooltip,Tooltip,Scan receipt,مسح الإيصال,Scanner le reçu
bill_empty_title,Empty state title,Add items to split,أضف عناصر للتقسيم,Ajouter des éléments à partager
